t,S,x,y,z
430.9,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
431,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
431.1,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
431.2,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
431.3,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
431.4,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
431.5,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
431.6,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
431.7,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
431.8,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
431.9,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
432,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
432.1,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
432.2,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
432.3,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
432.4,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
432.5,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
432.6,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
432.7,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
432.8,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
432.9,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
433,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
433.1,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
433.2,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
433.3,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
433.4,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
433.5,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
433.6,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
433.7,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
433.8,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
433.9,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
434,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
434.1,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
434.2,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
434.3,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
434.4,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
434.5,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
434.6,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
434.7,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
434.8,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
434.9,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
435,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
435.1,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
435.2,0.0550672686109,0.804597094909,0.280533672173,0.0815495442751
