param,value,P0_exists,P1_exists,P2_exists,P3_exists,predicted_regime,theory_S,theory_x,theory_y,theory_z,sim_regime,sim_S,sim_x,sim_y,sim_z,agree
D1,3.4000000000000004,True,True,False,False,P1,0.4128571428571431,0.17268907563025204,0.0,0.0,P1,0.4128571428571421,0.17268907563025204,1.7072813050754314e-130,8.762925856448786e-117,True
D1,3.5000000000000004,True,True,False,False,P1,0.45769230769230795,0.15494505494505484,0.0,0.0,P1,0.4576923076923093,0.15494505494505473,1.5691657827861583e-136,8.526019807993393e-117,True
D1,3.6,True,True,False,False,P1,0.5100000000000002,0.13611111111111104,0.0,0.0,P1,0.509999999999999,0.13611111111111224,4.7078483588114585e-143,8.312290186132173e-117,True
D1,3.7,True,True,False,False,P1,0.5718181818181821,0.11572481572481563,0.0,0.0,P1,0.5718181818181809,0.11572481572481674,2.99842768412766e-150,8.11924743685083e-117,True
D1,3.8000000000000003,True,True,False,False,P1,0.6460000000000005,0.09315789473684198,0.0,0.0,P1,0.6460000000000029,0.09315789473684055,2.2221235149088134e-158,7.944653906949e-117,True
D1,3.9000000000000004,True,True,False,False,P1,0.7366666666666672,0.06752136752136736,0.0,0.0,P1,0.7366666666666725,0.06752136752136663,8.060128852425044e-168,7.786428792092457e-117,True
D1,4.0,True,True,False,False,P1,0.8500000000000002,0.03749999999999995,0.0,0.0,P1,0.8499999999999939,0.0375000000000009,4.0960856533142106e-179,7.642660522959531e-117,True
D1,4.1,True,True,False,False,P1,0.9957142857142854,0.0010452961672474535,0.0,0.0,P1,0.9934650639012766,0.0015922489797502877,2.8201565787567352e-192,7.511667022206707e-117,True
D1,4.2,True,False,False,False,P0,1.0,0.0,0.0,0.0,P0,0.9999999999999972,2.6862448117929763e-19,1.0288187256403593e-193,7.392021335647015e-117,True
D1,4.3,True,False,False,False,P0,1.0,0.0,0.0,0.0,P0,0.9999999999999972,1.7894711283446528e-36,7.397316210838149e-194,7.28252278560111e-117,True
D1,4.3999999999999995,True,False,False,False,P0,1.0,0.0,0.0,0.0,P0,0.9999999999999972,9.775126208643674e-54,6.30141174235318e-194,7.182147014992351e-117,True
D1,4.5,True,False,False,False,P0,1.0,0.0,0.0,0.0,P0,0.9999999999999972,4.971627771007428e-71,5.679957477207154e-194,7.09000222794044e-117,True
